Fit FA02

   PI+P  Scattering Amplitudes(fm) at ACM =    0.00
     TLAB        ReF         ImF         ReG         ImG
  116.00  0.3443E+00  0.2354E+00  0.0000E+00  0.0000E+00
  121.00  0.3530E+00  0.2677E+00  0.0000E+00  0.0000E+00
  126.00  0.3585E+00  0.3027E+00  0.0000E+00  0.0000E+00
  131.00  0.3600E+00  0.3401E+00  0.0000E+00  0.0000E+00
  136.00  0.3568E+00  0.3792E+00  0.0000E+00  0.0000E+00
  141.00  0.3482E+00  0.4191E+00  0.0000E+00  0.0000E+00
  146.00  0.3337E+00  0.4587E+00  0.0000E+00  0.0000E+00
  151.00  0.3132E+00  0.4968E+00  0.0000E+00  0.0000E+00
  156.00  0.2869E+00  0.5318E+00  0.0000E+00  0.0000E+00
  161.00  0.2556E+00  0.5624E+00  0.0000E+00  0.0000E+00
  166.00  0.2204E+00  0.5873E+00  0.0000E+00  0.0000E+00
  171.00  0.1824E+00  0.6062E+00  0.0000E+00  0.0000E+00
  176.00  0.1432E+00  0.6186E+00  0.0000E+00  0.0000E+00
  181.00  0.1042E+00  0.6246E+00  0.0000E+00  0.0000E+00
  186.00  0.6667E-01  0.6247E+00  0.0000E+00  0.0000E+00
  191.00  0.3172E-01  0.6196E+00  0.0000E+00  0.0000E+00
  196.00  0.3418E-04  0.6101E+00  0.0000E+00  0.0000E+00
  201.00 -0.2794E-01  0.5972E+00  0.0000E+00  0.0000E+00
  206.00 -0.5203E-01  0.5819E+00  0.0000E+00  0.0000E+00
  211.00 -0.7225E-01  0.5649E+00  0.0000E+00  0.0000E+00
  216.00 -0.8881E-01  0.5469E+00  0.0000E+00  0.0000E+00
  221.00 -0.1019E+00  0.5285E+00  0.0000E+00  0.0000E+00
  226.00 -0.1118E+00  0.5102E+00  0.0000E+00  0.0000E+00
  231.00 -0.1188E+00  0.4922E+00  0.0000E+00  0.0000E+00
  236.00 -0.1234E+00  0.4749E+00  0.0000E+00  0.0000E+00
  241.00 -0.1257E+00  0.4584E+00  0.0000E+00  0.0000E+00
  246.00 -0.1260E+00  0.4429E+00  0.0000E+00  0.0000E+00
  251.00 -0.1247E+00  0.4283E+00  0.0000E+00  0.0000E+00
  256.00 -0.1219E+00  0.4148E+00  0.0000E+00  0.0000E+00
  261.00 -0.1178E+00  0.4025E+00  0.0000E+00  0.0000E+00
  266.00 -0.1126E+00  0.3912E+00  0.0000E+00  0.0000E+00
  271.00 -0.1065E+00  0.3811E+00  0.0000E+00  0.0000E+00
  276.00 -0.9958E-01  0.3720E+00  0.0000E+00  0.0000E+00
  281.00 -0.9200E-01  0.3640E+00  0.0000E+00  0.0000E+00
  286.00 -0.8387E-01  0.3570E+00  0.0000E+00  0.0000E+00
  291.00 -0.7528E-01  0.3511E+00  0.0000E+00  0.0000E+00
  296.00 -0.6632E-01  0.3461E+00  0.0000E+00  0.0000E+00
  301.00 -0.5709E-01  0.3421E+00  0.0000E+00  0.0000E+00
  306.00 -0.4767E-01  0.3391E+00  0.0000E+00  0.0000E+00
  311.00 -0.3813E-01  0.3370E+00  0.0000E+00  0.0000E+00
  316.00 -0.2855E-01  0.3357E+00  0.0000E+00  0.0000E+00
  321.00 -0.1899E-01  0.3353E+00  0.0000E+00  0.0000E+00
  326.00 -0.9544E-02  0.3357E+00  0.0000E+00  0.0000E+00
  331.00 -0.2549E-03  0.3368E+00  0.0000E+00  0.0000E+00
  336.00  0.8812E-02  0.3386E+00  0.0000E+00  0.0000E+00
  341.00  0.1760E-01  0.3410E+00  0.0000E+00  0.0000E+00
  346.00  0.2608E-01  0.3440E+00  0.0000E+00  0.0000E+00
  351.00  0.3421E-01  0.3475E+00  0.0000E+00  0.0000E+00
  356.00  0.4197E-01  0.3513E+00  0.0000E+00  0.0000E+00
  361.00  0.4936E-01  0.3555E+00  0.0000E+00  0.0000E+00
  366.00  0.5635E-01  0.3600E+00  0.0000E+00  0.0000E+00
  371.00  0.6299E-01  0.3646E+00  0.0000E+00  0.0000E+00
  376.00  0.6929E-01  0.3694E+00  0.0000E+00  0.0000E+00
  381.00  0.7528E-01  0.3742E+00  0.0000E+00  0.0000E+00
  386.00  0.8101E-01  0.3791E+00  0.0000E+00  0.0000E+00
  391.00  0.8653E-01  0.3838E+00  0.0000E+00  0.0000E+00
  396.00  0.9190E-01  0.3886E+00  0.0000E+00  0.0000E+00

   PI-P  Scattering Amplitudes(fm) at ACM =    0.00
     TLAB        ReF         ImF         ReG         ImG
  400.00  0.9612E-01  0.3923E+00  0.0000E+00  0.0000E+00
  420.00  0.1173E+00  0.4101E+00  0.0000E+00  0.0000E+00
  440.00  0.1410E+00  0.4276E+00  0.0000E+00  0.0000E+00
  460.00  0.1689E+00  0.4476E+00  0.0000E+00  0.0000E+00
  480.00  0.2013E+00  0.4737E+00  0.0000E+00  0.0000E+00
  500.00  0.2367E+00  0.5098E+00  0.0000E+00  0.0000E+00
  520.00  0.2714E+00  0.5603E+00  0.0000E+00  0.0000E+00
  540.00  0.2983E+00  0.6292E+00  0.0000E+00  0.0000E+00
  560.00  0.3027E+00  0.7281E+00  0.0000E+00  0.0000E+00
  580.00  0.2503E+00  0.8068E+00  0.0000E+00  0.0000E+00
  600.00  0.1752E+00  0.8529E+00  0.0000E+00  0.0000E+00
  620.00  0.9883E-01  0.8505E+00  0.0000E+00  0.0000E+00
  640.00  0.5256E-01  0.8106E+00  0.0000E+00  0.0000E+00
  660.00  0.4862E-01  0.7608E+00  0.0000E+00  0.0000E+00
  680.00  0.8006E-01  0.7239E+00  0.0000E+00  0.0000E+00
  700.00  0.1333E+00  0.7114E+00  0.0000E+00  0.0000E+00
  720.00  0.1955E+00  0.7271E+00  0.0000E+00  0.0000E+00
  740.00  0.2559E+00  0.7705E+00  0.0000E+00  0.0000E+00
  760.00  0.3057E+00  0.8391E+00  0.0000E+00  0.0000E+00
  780.00  0.3368E+00  0.9292E+00  0.0000E+00  0.0000E+00
  800.00  0.3411E+00  0.1035E+01  0.0000E+00  0.0000E+00
  820.00  0.3109E+00  0.1148E+01  0.0000E+00  0.0000E+00
  840.00  0.2418E+00  0.1252E+01  0.0000E+00  0.0000E+00
  860.00  0.1375E+00  0.1329E+01  0.0000E+00  0.0000E+00
  880.00  0.1320E-01  0.1363E+01  0.0000E+00  0.0000E+00
  900.00 -0.1076E+00  0.1350E+01  0.0000E+00  0.0000E+00
  920.00 -0.2039E+00  0.1300E+01  0.0000E+00  0.0000E+00
  940.00 -0.2666E+00  0.1230E+01  0.0000E+00  0.0000E+00
  960.00 -0.2974E+00  0.1159E+01  0.0000E+00  0.0000E+00
  980.00 -0.3038E+00  0.1096E+01  0.0000E+00  0.0000E+00
 1000.00 -0.2942E+00  0.1047E+01  0.0000E+00  0.0000E+00
 1020.00 -0.2751E+00  0.1009E+01  0.0000E+00  0.0000E+00
 1040.00 -0.2516E+00  0.9833E+00  0.0000E+00  0.0000E+00
 1060.00 -0.2270E+00  0.9675E+00  0.0000E+00  0.0000E+00
 1080.00 -0.2037E+00  0.9600E+00  0.0000E+00  0.0000E+00
 1100.00 -0.1827E+00  0.9587E+00  0.0000E+00  0.0000E+00
 1120.00 -0.1647E+00  0.9621E+00  0.0000E+00  0.0000E+00
 1140.00 -0.1499E+00  0.9686E+00  0.0000E+00  0.0000E+00
 1160.00 -0.1383E+00  0.9772E+00  0.0000E+00  0.0000E+00
 1180.00 -0.1297E+00  0.9870E+00  0.0000E+00  0.0000E+00
 1200.00 -0.1239E+00  0.9970E+00  0.0000E+00  0.0000E+00
 1220.00 -0.1205E+00  0.1007E+01  0.0000E+00  0.0000E+00
 1240.00 -0.1190E+00  0.1016E+01  0.0000E+00  0.0000E+00
 1260.00 -0.1190E+00  0.1023E+01  0.0000E+00  0.0000E+00
 1280.00 -0.1198E+00  0.1030E+01  0.0000E+00  0.0000E+00
 1300.00 -0.1208E+00  0.1035E+01  0.0000E+00  0.0000E+00
 1320.00 -0.1216E+00  0.1038E+01  0.0000E+00  0.0000E+00
