Measurement			
2			
Q2			
1.8			
W			
1.25			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
0.675	0.017427	0.004693	0.002964
End			
Measurement			
15			
Q2			
1.8			
W			
1.5			
Ps			
340			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.000787
-0.925	0	0	0.000809
-0.875	0	0	0.000832
-0.825	0.007657	0.004421	0.001039
-0.775	0.003021	0.001343	0.000884
-0.725	0.005298	0.001338	0.000921
-0.675	0.007317	0.0013	0.001001
-0.625	0.005442	0.001115	0.000978
-0.575	0.007535	0.001278	0.001036
-0.525	0.008111	0.001302	0.001115
-0.475	0.010945	0.001569	0.001505
-0.425	0.011716	0.001483	0.001619
-0.375	0.006775	0.001088	0.001129
-0.325	0.010807	0.00138	0.001509
-0.275	0.013	0.001478	0.001794
-0.225	0.01162	0.00137	0.001614
-0.175	0.008406	0.001258	0.001286
-0.125	0.012145	0.001422	0.001746
-0.075	0.017038	0.001732	0.002428
-0.025	0.012424	0.001455	0.001762
0.025	0.015179	0.001595	0.00215
0.075	0.013341	0.001561	0.001893
0.125	0.014757	0.001575	0.002101
0.175	0.014524	0.001636	0.002086
0.225	0.017311	0.002054	0.002523
0.275	0.013493	0.001924	0.001982
0.325	0.013191	0.001931	0.001938
0.375	0.020365	0.002399	0.002991
0.425	0.021716	0.002902	0.00319
0.475	0.022078	0.002958	0.003243
0.525	0.023537	0.003183	0.003457
0.575	0.023182	0.003009	0.003405
0.625	0.017475	0.002971	0.002567
0.675	0.02165	0.003218	0.00318
End			
Measurement			
16			
Q2			
1.8			
W			
1.73			
Ps			
340			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.001265
-0.925	0	0	0.0013
-0.875	0	0	0.001337
-0.825	0	0	0.001373
-0.775	0.006763	0.003905	0.001416
-0.725	0.010719	0.00268	0.001462
-0.675	0.009407	0.001698	0.001506
-0.625	0.010643	0.001715	0.001553
-0.575	0.011366	0.00173	0.001582
-0.525	0.013529	0.001896	0.001778
-0.475	0.010125	0.001396	0.001653
-0.425	0.012091	0.00143	0.001702
-0.375	0.01305	0.001405	0.001755
-0.325	0.016445	0.001594	0.002179
-0.275	0.014985	0.001488	0.001992
-0.225	0.018185	0.001512	0.002419
-0.175	0.019306	0.001618	0.002562
-0.125	0.021281	0.001604	0.002833
-0.075	0.023713	0.001814	0.003187
-0.025	0.023823	0.001799	0.00322
0.025	0.025665	0.001844	0.003473
0.075	0.022934	0.001865	0.003102
0.125	0.024899	0.001907	0.003362
0.175	0.023779	0.001747	0.003214
0.225	0.025646	0.001899	0.003478
0.275	0.024345	0.00192	0.003308
0.325	0.029589	0.002372	0.00402
0.375	0.029523	0.00253	0.004011
0.425	0.041347	0.003256	0.005617
0.475	0.035912	0.003181	0.004879
0.525	0.042491	0.003377	0.005773
0.575	0.035709	0.003195	0.004851
0.625	0.047797	0.004095	0.006494
0.675	0.04338	0.003947	0.005894
End			
Measurement			
17			
Q2			
1.8			
W			
2.02			
Ps			
340			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.001467
-0.925	0	0	0.001508
-0.875	0	0	0.001551
-0.825	0	0	0.001593
-0.775	0	0	0.001633
-0.725	0.008273	0.002294	0.001697
-0.675	0.012607	0.001493	0.001768
-0.625	0.011015	0.001056	0.001801
-0.575	0.01071	0.001017	0.001845
-0.525	0.013572	0.001099	0.001905
-0.475	0.013155	0.00106	0.001937
-0.425	0.015236	0.001115	0.002017
-0.375	0.016426	0.001114	0.002169
-0.325	0.017537	0.001178	0.002309
-0.275	0.019585	0.001267	0.002569
-0.225	0.019059	0.001346	0.002496
-0.175	0.021567	0.00142	0.002824
-0.125	0.023018	0.001505	0.003014
-0.075	0.023751	0.001489	0.003111
-0.025	0.023179	0.001506	0.003034
0.025	0.02663	0.001608	0.00348
0.075	0.030585	0.001657	0.003994
0.125	0.032828	0.001703	0.004288
0.175	0.036579	0.001717	0.004782
0.225	0.034869	0.001676	0.004566
0.275	0.036994	0.001705	0.004848
0.325	0.03876	0.001692	0.005079
0.375	0.042809	0.001881	0.00561
0.425	0.046607	0.002132	0.006107
0.475	0.056205	0.00244	0.007365
0.525	0.050143	0.00248	0.006571
0.575	0.051653	0.002608	0.006769
0.625	0.05847	0.002702	0.007662
0.675	0.057745	0.002902	0.007567
End			
Measurement			
18			
Q2			
1.8			
W			
2.4			
Ps			
340			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.001817
-0.925	0	0	0.001868
-0.875	0	0	0.001921
-0.825	0	0	0.001973
-0.775	0	0	0.002023
-0.725	0.026362	0.026362	0.004073
-0.675	0.007973	0.002521	0.002229
-0.625	0.012075	0.001767	0.002408
-0.575	0.01709	0.001488	0.002565
-0.525	0.018493	0.00124	0.002695
-0.475	0.016715	0.001012	0.00258
-0.425	0.020377	0.00101	0.002915
-0.375	0.02083	0.000971	0.002948
-0.325	0.023323	0.000986	0.003275
-0.275	0.023527	0.000924	0.003288
-0.225	0.027066	0.001	0.003773
-0.175	0.029127	0.001023	0.004057
-0.125	0.030601	0.001043	0.004261
-0.075	0.035675	0.001063	0.00497
-0.025	0.03829	0.001058	0.005336
0.025	0.040318	0.001071	0.00562
0.075	0.042692	0.001097	0.005951
0.125	0.045015	0.001076	0.006274
0.175	0.048657	0.001077	0.006769
0.225	0.05324	0.001103	0.007381
0.275	0.057514	0.001136	0.008002
0.325	0.061706	0.001131	0.008585
0.375	0.062225	0.001085	0.008657
0.425	0.066187	0.001091	0.009208
0.475	0.073457	0.001139	0.01022
0.525	0.086904	0.001268	0.012091
0.575	0.099842	0.001503	0.01389
0.625	0.117083	0.001785	0.016289
0.675	0.13956	0.002201	0.019416
End			
Measurement			
20			
Q2			
2.8			
W			
1.25			
Ps			
340			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.00034
-0.925	0	0	0.00035
-0.875	0	0	0.00036
-0.825	-0.00028	0.001401	0.000371
-0.775	0.00425	0.001503	0.000758
